,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
3796,A0A109W240,Extracellular,0.0002,0.9997,0.0000,0.0000,0.0000,0.0000
3797,C9LYP6,Periplasmic,0.0010,0.4581,0.0077,0.0084,0.0163,0.5084
3798,U1PKQ1,Extracellular,0.0010,0.9983,0.0000,0.0001,0.0004,0.0002
3799,D4YMZ1,Extracellular,0.0189,0.9799,0.0000,0.0001,0.0002,0.0008
3800,N6XBC4,Extracellular,0.0290,0.9692,0.0001,0.0008,0.0007,0.0001
3801,A0A1Q4HBH3,Extracellular,0.0078,0.9450,0.0060,0.0390,0.0017,0.0005
3802,U3GWM1,Extracellular,0.2609,0.6424,0.0005,0.0825,0.0137,0.0000
3803,E2S3P0,Extracellular,0.2598,0.4751,0.0013,0.2235,0.0395,0.0007
3804,J3JKD0,Extracellular,0.0014,0.9984,0.0000,0.0000,0.0001,0.0000
3805,A0A1A0K0E0,Extracellular,0.2261,0.7098,0.0024,0.0499,0.0116,0.0003
3806,A0A2I1IVS4,Extracellular,0.0011,0.9982,0.0000,0.0002,0.0003,0.0002
3807,L1PGE8,Extracellular,0.0070,0.9926,0.0000,0.0001,0.0002,0.0000
3808,R6B4M8,Extracellular,0.0658,0.8972,0.0241,0.0006,0.0122,0.0001
3809,G4Q8A9,Extracellular,0.0011,0.5469,0.4514,0.0002,0.0004,0.0001
3810,A0A076NTY8,Extracellular,0.0431,0.5260,0.0003,0.4046,0.0256,0.0004
3811,A0A1F1GCE2,Extracellular,0.1406,0.6466,0.0032,0.1894,0.0200,0.0003
3812,A0A1Q8W2P5,Extracellular,0.0011,0.9979,0.0000,0.0004,0.0003,0.0002
3813,A0A134CIL6,Extracellular,0.0096,0.6045,0.0950,0.0261,0.0257,0.2390
3814,U2TAC7,Periplasmic,0.0005,0.3554,0.0148,0.0035,0.0091,0.6166
3815,A0A396QGA1,Cytoplasmic,0.0037,0.4202,0.5657,0.0030,0.0063,0.0010
3816,A0A2I1Y9F8,Extracellular,0.0400,0.9365,0.0002,0.0139,0.0065,0.0029
3817,A0A069JSI6,Extracellular,0.0009,0.9954,0.0000,0.0037,0.0001,0.0000
3818,A0A2W5LDX3,Extracellular,0.2333,0.7439,0.0053,0.0120,0.0053,0.0001
3819,A0A2S0LN99,Extracellular,0.0023,0.9974,0.0000,0.0001,0.0001,0.0000
3820,A0A1G7TE19,Extracellular,0.0008,0.8261,0.0087,0.0048,0.0145,0.1451
3821,A0A352MWM3,Extracellular,0.0109,0.9542,0.0300,0.0001,0.0048,0.0000
3822,A0A2X3E4J8,Extracellular,0.0058,0.9827,0.0097,0.0003,0.0015,0.0000
3823,A0A0M2XG19,Extracellular,0.1783,0.6767,0.0016,0.1186,0.0245,0.0002
3824,A0A126Y2X0,Extracellular,0.0008,0.9950,0.0004,0.0037,0.0001,0.0000
3825,A0A1W6DPI4,Extracellular,0.0012,0.9980,0.0000,0.0006,0.0002,0.0000
3826,G9YG42,Periplasmic,0.0004,0.1968,0.0321,0.0351,0.0297,0.7059
3827,E0DEC2,Extracellular,0.1767,0.5062,0.0004,0.2696,0.0455,0.0017
3828,J7SGY4,Extracellular,0.0000,0.9998,0.0000,0.0000,0.0002,0.0000
3829,A0A1Q6RSU6,Extracellular,0.0045,0.9189,0.0682,0.0006,0.0063,0.0015
3830,A0A0M2NNF5,Extracellular,0.0024,0.9856,0.0103,0.0002,0.0014,0.0001
3831,A0A127NUQ4,Extracellular,0.2302,0.4874,0.0006,0.2197,0.0617,0.0005
3832,K9ECR5,Extracellular,0.0396,0.9577,0.0002,0.0006,0.0017,0.0002
3833,A0A095XYA3,Extracellular,0.0068,0.9925,0.0000,0.0001,0.0005,0.0001
3834,A0A1C6FQN5,Extracellular,0.0003,0.9980,0.0000,0.0000,0.0016,0.0000
3835,R6D201,Extracellular,0.0008,0.9908,0.0055,0.0003,0.0018,0.0009
3836,A0A1F1KZU8,Extracellular,0.0006,0.9986,0.0004,0.0000,0.0005,0.0000
3837,E9T249,Extracellular,0.1945,0.7592,0.0023,0.0370,0.0069,0.0001
3838,A0A127EHP6,Extracellular,0.0119,0.9759,0.0090,0.0009,0.0023,0.0000
3839,R5QFP6,Extracellular,0.0325,0.6789,0.2817,0.0011,0.0058,0.0001
3840,F9PLP4,Extracellular,0.0009,0.9982,0.0000,0.0003,0.0003,0.0002
3841,A0A350TLR9,Extracellular,0.0015,0.8881,0.1040,0.0005,0.0035,0.0025
3842,A0A1C6AGX4,Cytoplasmic,0.0270,0.0883,0.2980,0.1570,0.2596,0.1702
3843,A0A1B8WXB9,Periplasmic,0.0160,0.1097,0.0560,0.0751,0.2242,0.5192
3844,V9HFS0,Cytoplasmic Membrane,0.0009,0.3321,0.0137,0.6367,0.0164,0.0002
3845,A0A1E9HF60,Extracellular,0.0183,0.9805,0.0000,0.0006,0.0003,0.0003
3846,A0A1Q6JKK0,Extracellular,0.0030,0.6578,0.3173,0.0006,0.0135,0.0078
3847,R9BW00,Extracellular,0.0035,0.7646,0.2245,0.0011,0.0060,0.0002
3848,S7HGR8,Extracellular,0.0157,0.5800,0.0015,0.0117,0.0343,0.3568
3849,A0A3D2YHG4,Extracellular,0.0003,0.7420,0.2305,0.0004,0.0140,0.0129
3850,A0A1I6YJU0,Extracellular,0.0014,0.4834,0.0535,0.0235,0.0203,0.4179
3851,V9H587,Extracellular,0.0004,0.7357,0.2482,0.0008,0.0148,0.0001
3852,A0A1E3RXY4,Extracellular,0.0108,0.8988,0.0175,0.0364,0.0198,0.0167
3853,E0NXH9,Extracellular,0.0004,0.7534,0.2457,0.0000,0.0004,0.0000
3854,A0A1I3CGS0,Extracellular,0.0033,0.6658,0.0570,0.0327,0.0143,0.2270
3855,A0A316S9I6,Extracellular,0.0038,0.5925,0.3943,0.0008,0.0076,0.0010
3856,C9KN17,Extracellular,0.0016,0.6158,0.0483,0.0240,0.0233,0.2871
3857,F7KUS9,Extracellular,0.0200,0.9133,0.0401,0.0014,0.0191,0.0061
3858,G5H4Q7,Extracellular,0.0116,0.4234,0.1333,0.0970,0.0780,0.2568
3859,G0VS01,Extracellular,0.0296,0.8475,0.0031,0.0100,0.0236,0.0862
3860,R6XV44,Extracellular,0.0070,0.9586,0.0001,0.0000,0.0342,0.0000
3861,S2WEI2,Extracellular,0.0202,0.9721,0.0003,0.0041,0.0032,0.0001
3862,A0A133SGA5,Periplasmic,0.0111,0.0902,0.0195,0.1010,0.2701,0.5081
3863,A0A1C5TCY8,Extracellular,0.0005,0.9948,0.0001,0.0000,0.0046,0.0000
3864,C4IFG4,Extracellular,0.0044,0.9937,0.0007,0.0000,0.0012,0.0000
3865,A0A1M4UB11,Extracellular,0.0546,0.4547,0.3601,0.0626,0.0297,0.0384
3866,A0A1G4VJ28,Extracellular,0.0198,0.8188,0.0047,0.0917,0.0472,0.0178
3867,U2LII5,Extracellular,0.0115,0.4618,0.1825,0.1105,0.0868,0.1470
3868,F5RM21,Extracellular,0.0112,0.5894,0.1890,0.1384,0.0250,0.0471
3869,A0A1E9Q9N5,Extracellular,0.0054,0.9862,0.0015,0.0024,0.0043,0.0002
3870,A0A0F5PI70,Extracellular,0.0079,0.6604,0.2091,0.0172,0.0853,0.0200
3871,A0A384T9G0,Extracellular,0.0005,0.9985,0.0002,0.0000,0.0008,0.0000
3872,A0A1C6AT49,Extracellular,0.0025,0.9766,0.0006,0.0002,0.0194,0.0007
3873,E8RKD2,Extracellular,0.0008,0.5903,0.3818,0.0006,0.0235,0.0030
3874,R9HS49,Cytoplasmic,0.0000,0.0164,0.9829,0.0001,0.0007,0.0000
3875,A0A328KEJ3,Extracellular,0.0003,0.9991,0.0001,0.0000,0.0005,0.0000
3876,E6SQ69,Cytoplasmic,0.0000,0.0103,0.9886,0.0001,0.0010,0.0000
3877,A0A174EN03,Cytoplasmic,0.0000,0.0164,0.9827,0.0001,0.0007,0.0000
3878,R7J0C1,Cytoplasmic,0.0005,0.2202,0.7701,0.0001,0.0069,0.0021
3879,A0A255STS2,Cytoplasmic,0.0001,0.0741,0.9160,0.0012,0.0077,0.0009
3880,A0A173VBJ4,Cytoplasmic,0.0002,0.1436,0.8471,0.0010,0.0074,0.0009
3881,R5ME41,Cytoplasmic,0.0001,0.0225,0.9754,0.0001,0.0019,0.0000
3882,A0A1S8KLI8,Extracellular,0.0000,0.9997,0.0001,0.0000,0.0002,0.0000
3883,S4AT01,Extracellular,0.0001,0.9933,0.0027,0.0000,0.0038,0.0001
3884,A0A174EBB4,Extracellular,0.0157,0.6857,0.0091,0.2384,0.0506,0.0005
3885,R7FUU9,Cytoplasmic Membrane,0.0023,0.2356,0.0013,0.6017,0.1585,0.0006
3886,A0A366K5W9,Extracellular,0.0530,0.9425,0.0004,0.0031,0.0005,0.0005
3887,F7M698,Cytoplasmic,0.0001,0.1596,0.8369,0.0005,0.0027,0.0003
3888,A0A3D1JC64,Extracellular,0.0001,0.9998,0.0000,0.0000,0.0002,0.0000
3889,F3PUK8,Extracellular,0.0003,0.5502,0.4335,0.0027,0.0126,0.0008
3890,D4V6Q8,Cytoplasmic,0.0001,0.0238,0.9727,0.0003,0.0030,0.0001
3891,K1LL44,Extracellular,0.0052,0.6692,0.3239,0.0003,0.0009,0.0006
3892,C7XEC5,Cytoplasmic,0.0002,0.1386,0.8577,0.0007,0.0026,0.0003
3893,A0A0P0M2Y7,Extracellular,0.0026,0.5896,0.3491,0.0003,0.0562,0.0022
3894,A0A1Y4MC21,Cytoplasmic Membrane,0.0004,0.0355,0.0014,0.9473,0.0154,0.0000
3895,A0A1Y4VK41,Cytoplasmic Membrane,0.0113,0.3908,0.0519,0.5262,0.0148,0.0050
3896,R6WDH7,Cytoplasmic Membrane,0.0001,0.0141,0.0004,0.9773,0.0080,0.0000
3897,A0A174TSA1,Cytoplasmic Membrane,0.0001,0.0114,0.0001,0.9828,0.0056,0.0000
3898,R6BKV3,Cytoplasmic Membrane,0.0000,0.0007,0.0000,0.9961,0.0031,0.0000
3899,A0A0P0L7I8,Cytoplasmic,0.0001,0.0755,0.9191,0.0006,0.0038,0.0009
3900,A0A3D4X981,Cytoplasmic Membrane,0.0000,0.0012,0.0002,0.9980,0.0006,0.0000
3901,D2RJL3,Periplasmic,0.0392,0.1224,0.2704,0.0762,0.1157,0.3761
3902,A0A2L1CFM9,Extracellular,0.0006,0.9688,0.0016,0.0000,0.0289,0.0000
3903,B0N9C2,Cytoplasmic Membrane,0.0000,0.0178,0.0001,0.9759,0.0062,0.0000
3904,A0A1Y3WG76,Cytoplasmic Membrane,0.0039,0.2837,0.0470,0.6470,0.0161,0.0023
3905,A0A0J1GAX0,Cytoplasmic Membrane,0.0018,0.1217,0.0010,0.8221,0.0531,0.0003
3906,G4Q6H1,Periplasmic,0.0019,0.0570,0.0225,0.0644,0.3240,0.5303
3907,F3BA31,Cytoplasmic Membrane,0.0002,0.0440,0.0002,0.9510,0.0045,0.0000
3908,C0CQ24,Cytoplasmic Membrane,0.0003,0.0315,0.0001,0.9636,0.0044,0.0000
3909,C0EL59,Cytoplasmic,0.0001,0.0147,0.9816,0.0011,0.0019,0.0007
3910,A0A1Q6SE99,Cytoplasmic Membrane,0.0009,0.1824,0.0016,0.8070,0.0081,0.0000
3911,A0A1I4J4B4,Extracellular,0.0023,0.9178,0.0554,0.0030,0.0212,0.0002
3912,A0A1M6H9B0,Cytoplasmic,0.0003,0.2826,0.7128,0.0005,0.0036,0.0003
3913,A0A3A9FB46,Cytoplasmic Membrane,0.0007,0.0453,0.0005,0.9434,0.0100,0.0000
3914,R5QRH4,Cytoplasmic Membrane,0.0001,0.0059,0.0001,0.9907,0.0032,0.0000
3915,R5C451,Cytoplasmic,0.0000,0.0395,0.9585,0.0001,0.0018,0.0000
3916,A0A1Y4CE61,Extracellular,0.0997,0.6748,0.0887,0.0783,0.0515,0.0069
3917,A0A174KGX2,Cytoplasmic Membrane,0.0009,0.3706,0.0007,0.5277,0.1000,0.0001
3918,A0A3A9JIQ6,Cytoplasmic Membrane,0.0044,0.1971,0.0014,0.7777,0.0191,0.0004
3919,R6F681,Cytoplasmic Membrane,0.0021,0.1347,0.0073,0.8484,0.0074,0.0001
3920,A0A367G4G0,Extracellular,0.0001,0.9965,0.0030,0.0000,0.0001,0.0002
3921,A0A1G7UVV8,Extracellular,0.0313,0.7975,0.0703,0.0395,0.0473,0.0141
3922,A0A1C6EUH3,Cytoplasmic Membrane,0.0010,0.0851,0.0000,0.9024,0.0114,0.0000
3923,R6V4J1,Cytoplasmic Membrane,0.0009,0.0630,0.0005,0.9114,0.0241,0.0000
3924,A0A1C5PDM2,Cytoplasmic Membrane,0.0003,0.0135,0.0014,0.9696,0.0151,0.0000
3925,A0A0P0GV59,Cytoplasmic,0.0004,0.0256,0.9452,0.0006,0.0276,0.0007
3926,A0A351PD58,Extracellular,0.0168,0.8855,0.0404,0.0454,0.0089,0.0029
3927,R7BIA4,Cytoplasmic Membrane,0.0023,0.2325,0.0068,0.7317,0.0266,0.0001
3928,R6ZY52,Cytoplasmic Membrane,0.0000,0.0053,0.0000,0.9922,0.0024,0.0000
3929,R7EE38,Cytoplasmic Membrane,0.0000,0.0283,0.0001,0.9681,0.0034,0.0000
3930,A0A174GZK4,Cytoplasmic Membrane,0.0001,0.0140,0.0001,0.9813,0.0045,0.0000
3931,A0A3A9AT73,Cytoplasmic Membrane,0.0001,0.0409,0.0004,0.9475,0.0111,0.0000
3932,A0A1C5UFL0,Cytoplasmic Membrane,0.0000,0.0088,0.0001,0.9881,0.0029,0.0000
3933,A0A1C5MBR9,Cytoplasmic Membrane,0.0024,0.1422,0.0077,0.8403,0.0074,0.0001
3934,R5DFP8,Cytoplasmic Membrane,0.0080,0.1193,0.0046,0.8435,0.0241,0.0006
3935,A0A1C5ZQ82,Cytoplasmic Membrane,0.0014,0.1267,0.0039,0.8342,0.0337,0.0002
3936,A0A174MRB1,Cytoplasmic Membrane,0.0005,0.0395,0.0003,0.9404,0.0194,0.0000
3937,D7N0K8,Cytoplasmic,0.0001,0.0356,0.9484,0.0018,0.0062,0.0079
3938,R6PYS2,Cytoplasmic Membrane,0.0004,0.0353,0.0025,0.9482,0.0136,0.0000
3939,A0A127MMN9,Cytoplasmic,0.0000,0.0149,0.9794,0.0005,0.0016,0.0037
3940,A0A1C5W1U4,Cytoplasmic Membrane,0.0173,0.1654,0.0004,0.7890,0.0277,0.0003
3941,A0A1C6CYK3,Cytoplasmic Membrane,0.0021,0.0681,0.0017,0.9024,0.0257,0.0001
3942,A0A173RRP9,Cytoplasmic Membrane,0.0008,0.2942,0.0003,0.6039,0.1007,0.0000
3943,A0A0R0CX79,Cytoplasmic,0.0012,0.1476,0.5099,0.0507,0.0591,0.2315
3944,F3ALK0,Cytoplasmic Membrane,0.0026,0.0787,0.0013,0.9093,0.0080,0.0001
3945,A0A3C1XM08,Cytoplasmic Membrane,0.0005,0.1041,0.0003,0.8540,0.0410,0.0001
3946,D4S1F6,Cytoplasmic Membrane,0.0010,0.1626,0.0012,0.7273,0.1078,0.0001
3947,A0A3B9CIN9,Cytoplasmic Membrane,0.0006,0.1266,0.0007,0.8687,0.0033,0.0000
3948,A0A143Y0L2,Cytoplasmic Membrane,0.0134,0.2018,0.0232,0.7238,0.0374,0.0003
3949,R6XUE4,Cytoplasmic Membrane,0.0140,0.2237,0.0133,0.4539,0.1701,0.1250
3950,B0G3S2,Cytoplasmic Membrane,0.0002,0.0296,0.0001,0.9536,0.0163,0.0000
3951,A0A173V7L4,Cytoplasmic Membrane,0.0000,0.0016,0.0000,0.9954,0.0030,0.0000
3952,A0A1C6EZ72,Extracellular,0.0034,0.5657,0.0018,0.4075,0.0074,0.0141
3953,R7C6A7,Cytoplasmic,0.0003,0.0886,0.8807,0.0038,0.0203,0.0063
3954,A0A396QGU9,Cytoplasmic Membrane,0.0002,0.0570,0.0001,0.9391,0.0036,0.0000
3955,R6MTD9,Cytoplasmic Membrane,0.0017,0.1999,0.0006,0.7311,0.0665,0.0003
3956,F0YYC1,Cytoplasmic Membrane,0.0004,0.0715,0.0001,0.8888,0.0391,0.0001
3957,A0A2S0KP84,Extracellular,0.0005,0.9930,0.0047,0.0002,0.0014,0.0002
3958,R6ETK0,Cytoplasmic Membrane,0.0001,0.0313,0.0001,0.9646,0.0039,0.0000
3959,F7V4N6,Cytoplasmic Membrane,0.0004,0.1504,0.0004,0.8392,0.0096,0.0000
3960,A0A023Y8Z3,Cytoplasmic Membrane,0.0008,0.0823,0.1747,0.3309,0.1659,0.2455
3961,A0A3D4K4W6,Cytoplasmic Membrane,0.0015,0.1017,0.0003,0.8769,0.0195,0.0002
3962,R5L8F0,Cytoplasmic Membrane,0.0189,0.3761,0.0015,0.5901,0.0131,0.0004
3963,C0BY96,Cytoplasmic Membrane,0.0002,0.0318,0.0001,0.9596,0.0084,0.0000
3964,A0A3D5P9A1,Extracellular,0.0001,0.9168,0.0782,0.0001,0.0025,0.0023
3965,I2NVS7,Cytoplasmic,0.0000,0.0060,0.9895,0.0012,0.0014,0.0019
3966,A0A2W4Y9C5,Cytoplasmic,0.0000,0.2011,0.7883,0.0001,0.0006,0.0099
3967,A0A1Y4U497,Cytoplasmic Membrane,0.0033,0.1008,0.0027,0.8732,0.0196,0.0005
3968,A0A355VXM8,Cytoplasmic Membrane,0.0044,0.1098,0.0020,0.8760,0.0078,0.0001
3969,A0A374WFC2,Extracellular,0.0005,0.6263,0.3685,0.0003,0.0041,0.0004
3970,A0A0U5NKT2,Cytoplasmic Membrane,0.0011,0.0787,0.0002,0.8977,0.0221,0.0001
3971,B0ACG4,Extracellular,0.0001,0.9995,0.0000,0.0000,0.0004,0.0000
3972,J3I8C0,Cytoplasmic,0.0000,0.0174,0.9492,0.0032,0.0021,0.0281
3973,R5K9U7,Cytoplasmic Membrane,0.0016,0.2223,0.0058,0.7627,0.0075,0.0001
3974,A0A120G996,Cytoplasmic,0.0000,0.0438,0.9460,0.0027,0.0014,0.0061
3975,A0A374A876,Cytoplasmic Membrane,0.0111,0.1833,0.0229,0.7345,0.0468,0.0014
3976,A0A2C8EZR7,Cytoplasmic,0.0000,0.0161,0.9737,0.0019,0.0010,0.0073
3977,R6HHI4,Extracellular,0.0349,0.8165,0.0020,0.0276,0.0968,0.0222
3978,R7BNX4,Extracellular,0.0324,0.5779,0.0121,0.2412,0.1294,0.0071
3979,K0Z773,Extracellular,0.0172,0.9049,0.0028,0.0015,0.0314,0.0423
3980,A0A266NM67,Cytoplasmic,0.0000,0.0066,0.9855,0.0017,0.0008,0.0054
3981,U2ZSR8,Cytoplasmic,0.0000,0.0293,0.9651,0.0009,0.0012,0.0035
3982,D4CG81,Cytoplasmic Membrane,0.0001,0.0028,0.0001,0.9935,0.0034,0.0000
3983,R5E009,Cytoplasmic Membrane,0.0001,0.0029,0.0001,0.9921,0.0049,0.0000
3984,A0A1H2PBE9,Cytoplasmic,0.0001,0.0410,0.9319,0.0068,0.0027,0.0176
3985,A0A1B3CLY9,Cytoplasmic,0.0000,0.0478,0.9401,0.0032,0.0013,0.0075
3986,A0A1U9PSL5,Cytoplasmic,0.0000,0.0375,0.9249,0.0038,0.0030,0.0307
3987,A0A0E1NDN3,Cytoplasmic,0.0000,0.0070,0.9868,0.0023,0.0019,0.0019
3988,A6NPI6,Cytoplasmic Membrane,0.0003,0.0973,0.0004,0.8985,0.0034,0.0001
3989,A0A105TMG2,Cytoplasmic,0.0000,0.0078,0.9900,0.0007,0.0003,0.0012
3990,A0A109R858,Cytoplasmic,0.0000,0.0097,0.9713,0.0024,0.0018,0.0148
3991,R9L9I2,Extracellular,0.1052,0.3421,0.1163,0.0744,0.2559,0.1060
3992,A0A1E8RPP1,Extracellular,0.0000,0.9994,0.0000,0.0000,0.0005,0.0000
3993,A0A350LL54,Cytoplasmic,0.0009,0.1125,0.8557,0.0025,0.0235,0.0048
3994,A7B3H1,Cytoplasmic Membrane,0.0001,0.0105,0.0001,0.9837,0.0057,0.0000
3995,A0A0Q4ERH0,Cytoplasmic,0.0000,0.0349,0.9529,0.0031,0.0018,0.0073
3996,R5PWS3,Cytoplasmic Membrane,0.0032,0.0791,0.0029,0.8249,0.0876,0.0024
3997,W6QYT8,Cytoplasmic,0.0000,0.0793,0.9056,0.0013,0.0017,0.0120
3998,R5J545,Extracellular,0.0174,0.5609,0.0033,0.3874,0.0128,0.0181
3999,A0A1Y4HXE5,Cytoplasmic Membrane,0.0001,0.0503,0.0000,0.9472,0.0023,0.0000
4000,C0CYN4,Cytoplasmic Membrane,0.0014,0.0551,0.0006,0.9237,0.0186,0.0006
4001,A0A1G3E4V0,Cytoplasmic,0.0000,0.0202,0.9749,0.0007,0.0010,0.0033
4002,A0A173SW23,Cytoplasmic Membrane,0.0028,0.3050,0.0052,0.6232,0.0633,0.0004
4003,A0A316P0I8,Extracellular,0.0029,0.9951,0.0001,0.0010,0.0006,0.0003
4004,A0A2S8HSX1,Cytoplasmic,0.0000,0.0313,0.9536,0.0025,0.0018,0.0108
4005,A0A3E2VEQ2,Cytoplasmic Membrane,0.0037,0.2016,0.0005,0.7436,0.0496,0.0009
4006,A0A385Z666,Cytoplasmic,0.0000,0.0778,0.9032,0.0015,0.0014,0.0161
4007,A0A1C6AH08,Extracellular,0.0000,0.9997,0.0000,0.0000,0.0003,0.0000
4008,A0A316Q780,Cytoplasmic Membrane,0.0009,0.0748,0.0024,0.8397,0.0818,0.0003
4009,R9L0P9,Extracellular,0.0843,0.6215,0.0093,0.1567,0.1117,0.0165
4010,A0A3A6I5Q7,Cytoplasmic Membrane,0.0051,0.0901,0.0006,0.8861,0.0172,0.0009
4011,B6WB85,Extracellular,0.0000,0.9978,0.0010,0.0000,0.0012,0.0000
4012,A0A0B2XKH1,Extracellular,0.0004,0.9996,0.0000,0.0001,0.0000,0.0000
4013,C5EQ67,Cytoplasmic Membrane,0.0174,0.3692,0.0025,0.4703,0.1162,0.0243
4014,A0A246HJ48,Periplasmic,0.0005,0.0665,0.2107,0.2556,0.1494,0.3173
4015,C8P556,Extracellular,0.0102,0.9505,0.0000,0.0391,0.0001,0.0000
4016,A0A0J9BVA2,Cytoplasmic Membrane,0.0107,0.0607,0.0033,0.8860,0.0372,0.0021
4017,A0A0R1P3I6,Cytoplasmic Membrane,0.0087,0.3052,0.0045,0.6759,0.0058,0.0000
4018,A0A1C5Y857,Cytoplasmic Membrane,0.0003,0.0628,0.0003,0.9152,0.0213,0.0001
4019,A0A1C6G8A0,Cytoplasmic Membrane,0.0006,0.0152,0.0007,0.9383,0.0447,0.0005
4020,F7V1E7,Extracellular,0.0134,0.7666,0.0007,0.1086,0.1087,0.0019
4021,A0A087X0J5,Cytoplasmic,0.0000,0.0043,0.9924,0.0012,0.0020,0.0000
4022,A0A384CV84,Cytoplasmic,0.0001,0.1123,0.8153,0.0021,0.0702,0.0001
4023,R7G0X4,Cytoplasmic,0.0005,0.3393,0.4097,0.0020,0.0591,0.1895
4024,W6S3I8,Extracellular,0.0030,0.9962,0.0000,0.0000,0.0008,0.0000
4025,R7KFR9,Extracellular,0.0106,0.5187,0.0005,0.0011,0.4603,0.0088
4026,A0A1C6K2E6,Extracellular,0.0023,0.5957,0.0786,0.0156,0.0231,0.2847
4027,A0A177LQJ2,Extracellular,0.0576,0.8109,0.0009,0.0030,0.1268,0.0009
4028,A0A0K6IE32,Extracellular,0.0002,0.6936,0.0032,0.0029,0.0107,0.2894
4029,A0A2N2FEY6,Cytoplasmic,0.0008,0.0220,0.8792,0.0387,0.0416,0.0176
4030,V9HCT4,Extracellular,0.0103,0.9647,0.0002,0.0017,0.0227,0.0003
4031,A0A1H4FRX5,Extracellular,0.0067,0.6332,0.0002,0.0006,0.3568,0.0026
4032,R7KJ92,Cytoplasmic Membrane,0.0006,0.0447,0.0149,0.9332,0.0064,0.0002
4033,G9RU57,Extracellular,0.0330,0.9506,0.0009,0.0017,0.0119,0.0019
4034,A0A2V2EKX0,Cytoplasmic,0.0014,0.4149,0.4350,0.0236,0.0950,0.0300
4035,A0A174PBX9,Extracellular,0.0003,0.5912,0.2322,0.0084,0.0484,0.1195
4036,L1QLQ5,Extracellular,0.0016,0.9982,0.0000,0.0000,0.0001,0.0000
4037,A0A0M1P4S3,Extracellular,0.0077,0.9921,0.0000,0.0001,0.0000,0.0000
4038,B0N013,Periplasmic,0.0040,0.1685,0.0064,0.0161,0.3907,0.4142
4039,A0A3F3K5K7,Extracellular,0.0001,0.9858,0.0096,0.0001,0.0043,0.0002
4040,A0A0C3R6Y8,Periplasmic,0.0041,0.1126,0.0088,0.0116,0.4048,0.4580
4041,A0A069D4N5,Extracellular,0.0222,0.7910,0.1062,0.0657,0.0103,0.0046
4042,A0A165ZZP7,Extracellular,0.0148,0.9186,0.0076,0.0060,0.0528,0.0001
4043,C4GDD6,Cytoplasmic,0.0004,0.1519,0.7778,0.0188,0.0296,0.0214
4044,R5VMT9,Extracellular,0.0243,0.5804,0.0010,0.1056,0.2876,0.0012
4045,A0A2X1B3B6,Cytoplasmic,0.0001,0.2347,0.7366,0.0082,0.0064,0.0140
4046,A0A329B793,Periplasmic,0.0003,0.2192,0.0028,0.0228,0.1358,0.6191
4047,W6SJS5,Extracellular,0.0022,0.9970,0.0000,0.0000,0.0006,0.0002
4048,A0A3D5ZMA6,Outer Membrane,0.0087,0.1435,0.0002,0.0259,0.8179,0.0038
4049,A0A1G7Q087,Periplasmic,0.0005,0.0411,0.1251,0.0118,0.1899,0.6316
4050,S0L3E4,Cytoplasmic,0.0064,0.2455,0.6624,0.0124,0.0697,0.0036
4051,R6ES92,Cytoplasmic Membrane,0.0013,0.0175,0.0049,0.7106,0.2576,0.0082
4052,R6FPZ4,Cytoplasmic,0.0001,0.2179,0.5038,0.0010,0.0293,0.2479
4053,A0A1B3WMX3,Periplasmic,0.0200,0.0645,0.0295,0.2599,0.2324,0.3937
4054,R6RDB6,Extracellular,0.0100,0.8746,0.0001,0.0244,0.0907,0.0002
4055,A0A3D5ZRM1,Outer Membrane,0.0031,0.0044,0.0003,0.0957,0.8929,0.0035
4056,D0T0B5,Outer Membrane,0.0100,0.3360,0.0179,0.0107,0.5125,0.1129
4057,A0A363RNC3,Periplasmic,0.0011,0.4416,0.0026,0.0047,0.0907,0.4592
4058,A0A1B3WSW3,Periplasmic,0.0093,0.2234,0.0592,0.0652,0.0856,0.5573
4059,E6LS04,Extracellular,0.0011,0.7714,0.1622,0.0070,0.0576,0.0007
4060,A0A1Y4LC50,Extracellular,0.0058,0.9935,0.0000,0.0000,0.0005,0.0000
4061,K5ZLN1,Outer Membrane,0.0053,0.0830,0.0070,0.0162,0.5639,0.3246
4062,A0A3E2WVQ9,Cytoplasmic,0.0007,0.2618,0.5659,0.1200,0.0172,0.0344
4063,R7DNJ9,Cytoplasmic,0.0029,0.3434,0.4675,0.1102,0.0565,0.0195
4064,A0A174N229,Cytoplasmic,0.0001,0.0870,0.8863,0.0003,0.0199,0.0064
4065,A0A1B3WRP2,Cytoplasmic Membrane,0.0090,0.0168,0.0310,0.7748,0.1298,0.0386
4066,A0A316LRX3,Cytoplasmic Membrane,0.0985,0.1019,0.0042,0.4216,0.3657,0.0080
4067,R6QX35,Outer Membrane,0.0080,0.3925,0.0001,0.0017,0.5976,0.0000
4068,A0A3C1UG10,Periplasmic,0.0016,0.1785,0.0166,0.0451,0.2915,0.4668
4069,A0A3E3IZE5,Cytoplasmic,0.0009,0.1997,0.6321,0.0096,0.1324,0.0252
4070,B5CYD6,Extracellular,0.0057,0.3795,0.0205,0.0505,0.3551,0.1887
4071,A0A0P0GR24,Extracellular,0.0040,0.5306,0.0035,0.0026,0.0451,0.4143
